Strategy,F1,Precision,Recall,ROC_AUC,PR_AUC,MCC,Kappa,G_Mean,Train_Size,Fraud_Pct
No Resampling,0.8173076923076923,0.7727272727272727,0.8673469387755102,0.9795357595063912,0.8473931450477403,0.8183426409893708,0.816974640757023,0.931109882674537,0.0,0.0
SMOTE,0.6963562753036437,0.5771812080536913,0.8775510204081632,0.9788419271760476,0.837070926901285,0.7111127713369788,0.6957246974981499,0.9362578575615708,100000.0,50.0
ADASYN,0.35390946502057613,0.22164948453608246,0.8775510204081632,0.9836433940486717,0.7341667296908114,0.4394844218315187,0.35212973409673975,0.9342860480196166,99975.0,49.99
BorderlineSMOTE,0.6564885496183206,0.524390243902439,0.8775510204081632,0.9545263026426103,0.8140036006411007,0.677698145136264,0.6557470839852537,0.9361342259779585,100000.0,50.0
RandomUnderSample,0.08845208845208845,0.04646360351058337,0.9183673469387755,0.9761538091601301,0.6973196435333732,0.20256523391051307,0.08545678877752605,0.9426228569344551,788.0,50.0
SMOTETomek,0.6963562753036437,0.5771812080536913,0.8775510204081632,0.9788419271760477,0.837070926901285,0.7111127713369788,0.6957246974981499,0.9362578575615708,100000.0,50.0
SMOTEENN,0.6566037735849056,0.5209580838323353,0.8877551020408163,0.9809109525915037,0.725570068665838,0.6793957696775967,0.6558575315501761,0.9415445555060034,99681.0,50.16
